Skill_Operating Systems,Skill_Algorithms,Skill_Programming Concepts,Skill_Software Engineering,Skill_Computer Networks,Skill_Computer Architecture,Skill_Mathematics,Skill_Communication skills,Working_Hours,Skill_Logical Thinking,No of Hackathons,Skill_Coding,Skill_public speaking,Skill_self-learning,Skill_memory capability,Skill_reading and writing,Gentle or Stubborn?,Management or Technical?,Salary or Work?,Hard or Smart Worker?,Skill_teamwork,Introvert or Extrovert?,Other_Certifications,Workshops,Interested subjects,Interested career area,Type_of_company,Interested Type of Books,Suggested Job Role
66,84,61,74,75,67,81,84,12,5,2,9,4,yes,poor,medium,gentle,Technical,work,hard worker,no,yes,machine learning,testing,programming,testing,product development,Guide,Solutions Architect
86,91,77,73,87,73,74,91,4,1,5,3,1,no,excellent,poor,gentle,Technical,salary,smart worker,yes,no,app development,game development,hacking,cloud computing,Product based,Satire,CRM Business Analyst
88,79,86,74,69,67,93,62,8,8,3,4,6,yes,excellent,medium,gentle,Management,salary,smart worker,yes,yes,distro making,database security,networks,developer,SAaS services,Health,Design & UX
61,64,82,75,77,80,75,74,10,2,3,4,2,yes,poor,excellent,gentle,Management,salary,hard worker,no,no,machine learning,testing,Software Engineering,developer,Sales and Marketing,History,Portal Administrator
67,75,80,88,82,76,92,63,9,4,3,6,9,no,excellent,poor,gentle,Technical,work,smart worker,yes,no,full stack,game development,cloud computing,cloud computing,Sales and Marketing,Satire,Business Systems Analyst
79,63,90,65,80,94,67,81,10,4,1,1,1,no,poor,medium,stubborn,Technical,salary,hard worker,no,no,information security,database security,Computer Architecture,cloud computing,Web Services,Diaries,Database Developer
62,70,79,77,70,93,71,78,6,9,2,1,1,yes,poor,poor,gentle,Technical,salary,hard worker,yes,yes,distro making,game development,cloud computing,system developer,Testing and Maintainance Services,Fantasy,Technical Support
84,93,94,60,73,65,76,87,6,7,2,3,9,yes,poor,excellent,gentle,Management,salary,smart worker,no,yes,machine learning,game development,Software Engineering,cloud computing,Product based,Biographies,Systems Security Administrator
60,61,87,71,70,63,80,91,7,9,2,4,6,yes,medium,excellent,stubborn,Management,salary,smart worker,yes,no,app development,database security,parallel computing,Business process analyst,Service Based,Horror,Database Administrator
79,75,63,77,75,81,71,81,8,3,5,2,6,no,poor,excellent,gentle,Management,salary,smart worker,no,no,python,web technologies,Computer Architecture,developer,Service Based,Horror,Network Security Engineer
63,78,82,89,85,63,76,75,11,7,6,5,1,no,poor,poor,stubborn,Technical,salary,smart worker,yes,no,machine learning,data science,Computer Architecture,Business process analyst,Business Process Analysis,Horror,Network Engineer
88,73,62,77,84,86,92,67,10,5,5,4,2,yes,medium,excellent,gentle,Technical,salary,smart worker,yes,yes,full stack,hacking,cloud computing,testing,Finance,History,Quality Assurance Associate
89,70,94,90,66,63,67,76,11,1,0,4,9,no,poor,poor,stubborn,Management,salary,hard worker,no,yes,python,system designing,Management,testing,Testing and Maintainance Services,Dictionaries,Design & UX
80,66,68,77,68,92,68,85,12,5,0,3,2,no,excellent,excellent,stubborn,Technical,work,smart worker,yes,yes,python,database security,parallel computing,security,Product based,Fantasy,Quality Assurance Associate
92,93,86,69,66,94,65,70,4,3,4,5,1,yes,medium,poor,gentle,Technical,work,hard worker,no,no,distro making,web technologies,Computer Architecture,Business process analyst,Business Process Analysis,Guide,Web Developer
67,78,62,71,76,67,76,83,10,9,4,4,5,no,poor,medium,gentle,Management,salary,smart worker,no,no,python,game development,cloud computing,cloud computing,Product based,Biographies,Database Manager
79,72,62,66,79,63,85,77,7,9,2,9,5,yes,medium,poor,stubborn,Technical,work,hard worker,no,yes,r programming,system designing,Computer Architecture,security,Web Services,Travel,Technical Support
80,72,75,72,74,74,87,86,4,1,3,8,7,no,poor,excellent,stubborn,Technical,salary,smart worker,no,no,python,data science,data engineering,cloud computing,Cloud Services,Horror,UX Designer
76,86,76,94,81,85,68,64,5,6,3,1,5,no,poor,excellent,stubborn,Technical,salary,smart worker,yes,yes,r programming,game development,Computer Architecture,system developer,Service Based,Action and Adventure,Technical Support
77,88,66,66,90,93,93,76,11,3,6,2,1,no,poor,medium,gentle,Technical,work,smart worker,yes,no,information security,testing,networks,cloud computing,SAaS services,Comics,Design & UX
69,73,61,67,93,63,66,82,10,1,1,9,2,yes,excellent,poor,gentle,Management,salary,smart worker,no,yes,r programming,system designing,Management,developer,Sales and Marketing,Trilogy,Project Manager
69,63,94,92,94,92,71,90,8,7,1,7,3,no,poor,poor,stubborn,Technical,salary,smart worker,no,no,shell programming,cloud computing,programming,security,Service Based,Horror,Information Technology Manager
61,67,91,80,75,71,71,63,6,9,0,9,1,no,poor,medium,stubborn,Management,salary,hard worker,no,no,hadoop,testing,parallel computing,Business process analyst,Testing and Maintainance Services,Cookbooks,Business Intelligence Analyst
80,70,93,89,70,94,79,62,9,8,5,4,1,no,excellent,medium,stubborn,Technical,salary,smart worker,no,yes,r programming,system designing,networks,Business process analyst,Service Based,Satire,Web Developer
81,90,79,88,69,83,79,67,10,8,6,7,1,yes,excellent,medium,stubborn,Technical,work,smart worker,yes,no,distro making,testing,IOT,cloud computing,Sales and Marketing,Drama,Software Quality Assurance (QA) / Testing
67,69,65,67,61,64,83,72,6,8,0,9,6,no,medium,excellent,gentle,Management,work,smart worker,yes,yes,r programming,web technologies,data engineering,developer,Sales and Marketing,Satire,Portal Administrator
94,76,92,68,71,86,68,64,5,2,4,7,6,no,poor,excellent,gentle,Management,salary,hard worker,yes,no,python,game development,data engineering,security,Product based,Self help,Information Technology Manager
93,81,79,93,78,67,64,82,4,9,0,6,3,yes,poor,excellent,gentle,Technical,work,smart worker,no,yes,app development,cloud computing,data engineering,security,Testing and Maintainance Services,Science fiction,Project Manager
64,80,77,81,67,92,85,87,10,6,0,9,9,yes,poor,excellent,stubborn,Management,work,hard worker,no,no,shell programming,testing,Computer Architecture,Business process analyst,Web Services,Comics,Network Security Administrator
74,91,61,63,86,84,79,76,11,3,4,2,1,no,excellent,medium,stubborn,Management,salary,smart worker,yes,yes,app development,web technologies,IOT,system developer,Testing and Maintainance Services,Biographies,Software Engineer
63,70,61,92,81,75,68,81,7,6,1,5,6,no,poor,poor,gentle,Management,work,hard worker,no,yes,distro making,data science,cloud computing,testing,Product based,Horror,Quality Assurance Associate
72,67,71,80,79,84,70,92,8,3,3,8,8,yes,poor,excellent,stubborn,Management,work,smart worker,no,no,shell programming,web technologies,programming,Business process analyst,Web Services,Fantasy,E-Commerce Analyst
86,89,82,65,91,90,90,86,11,2,5,2,2,no,medium,poor,gentle,Technical,work,smart worker,no,no,python,testing,IOT,testing,Sales and Marketing,Comics,Database Developer
94,81,82,79,62,67,80,85,5,5,2,1,4,no,medium,poor,stubborn,Technical,work,hard worker,no,no,hadoop,web technologies,networks,cloud computing,Business Process Analysis,Diaries,CRM Technical Developer
84,65,65,67,76,65,60,87,6,6,0,2,7,no,poor,excellent,gentle,Technical,work,hard worker,no,yes,python,database security,Software Engineering,developer,Web Services,Health,Database Developer
60,74,86,75,85,91,67,62,4,1,2,8,8,no,poor,poor,stubborn,Management,salary,smart worker,no,yes,information security,system designing,IOT,developer,Web Services,Cookbooks,Database Developer
62,66,60,71,62,88,67,89,5,5,0,5,3,no,excellent,poor,gentle,Management,work,hard worker,no,no,hadoop,data science,Management,testing,Finance,Art,Programmer Analyst
84,70,81,63,70,76,81,65,4,5,4,4,9,yes,medium,poor,gentle,Technical,work,hard worker,no,no,machine learning,hacking,parallel computing,developer,Web Services,Self help,Database Manager
68,94,94,76,89,86,88,93,9,7,1,5,2,no,medium,poor,gentle,Management,salary,hard worker,no,no,shell programming,data science,programming,cloud computing,Web Services,Guide,Web Developer
71,74,76,80,94,81,62,63,4,5,3,2,1,yes,excellent,excellent,stubborn,Management,salary,smart worker,yes,no,hadoop,web technologies,hacking,testing,Cloud Services,Science fiction,Software Engineer
87,62,67,90,60,82,78,77,11,4,1,2,4,no,excellent,excellent,gentle,Technical,salary,smart worker,no,yes,python,database security,parallel computing,Business process analyst,Cloud Services,Comics,Solutions Architect
94,64,60,66,75,80,80,77,10,6,3,1,8,yes,medium,medium,stubborn,Technical,salary,hard worker,yes,yes,r programming,cloud computing,Computer Architecture,testing,Service Based,Childrens,Software Quality Assurance (QA) / Testing
68,77,89,71,81,88,82,60,9,9,4,1,8,no,poor,medium,stubborn,Management,work,hard worker,no,no,r programming,hacking,parallel computing,Business process analyst,Finance,History,Systems Security Administrator
66,67,62,62,79,77,65,85,6,9,0,5,2,no,medium,medium,gentle,Technical,work,hard worker,no,no,app development,database security,programming,cloud computing,Product based,Self help,CRM Technical Developer
78,72,83,61,62,63,80,92,5,3,2,8,1,no,medium,poor,gentle,Management,salary,smart worker,no,yes,distro making,cloud computing,IOT,testing,SAaS services,Guide,Web Developer
89,78,93,86,91,87,84,71,10,8,6,9,4,yes,medium,excellent,gentle,Technical,work,hard worker,no,yes,full stack,database security,networks,cloud computing,Web Services,Poetry,Network Security Administrator
80,63,72,94,72,68,80,70,11,9,3,6,7,no,poor,poor,stubborn,Technical,work,hard worker,yes,yes,r programming,game development,networks,developer,Testing and Maintainance Services,Drama,Network Security Administrator
71,87,85,62,93,87,75,94,9,8,4,5,3,no,medium,medium,gentle,Management,salary,hard worker,no,no,shell programming,game development,Management,developer,Finance,Journals,Software Developer
86,94,84,64,62,68,85,83,8,5,5,6,9,yes,excellent,excellent,gentle,Technical,salary,smart worker,yes,no,r programming,game development,programming,Business process analyst,SAaS services,Childrens,CRM Business Analyst
79,60,65,78,80,61,92,75,11,2,0,1,2,yes,medium,excellent,stubborn,Management,work,smart worker,no,yes,hadoop,web technologies,cloud computing,cloud computing,Product based,Health,Information Technology Manager
89,69,78,86,88,91,94,94,8,4,0,7,6,yes,medium,poor,stubborn,Technical,work,hard worker,no,yes,hadoop,hacking,IOT,security,SAaS services,Horror,Systems Security Administrator
87,94,81,74,76,66,85,90,11,1,1,8,6,yes,poor,medium,gentle,Technical,salary,hard worker,yes,no,machine learning,testing,Computer Architecture,system developer,Cloud Services,Diaries,Network Security Administrator
84,83,94,83,88,73,87,92,5,2,2,2,3,yes,excellent,excellent,gentle,Management,salary,smart worker,no,no,hadoop,game development,Computer Architecture,Business process analyst,Cloud Services,Romance,Applications Developer
85,71,66,91,73,64,74,82,4,6,4,4,6,yes,medium,poor,stubborn,Management,work,smart worker,no,no,shell programming,game development,Management,testing,Finance,Prayer books,Information Technology Auditor
87,65,88,69,73,93,72,79,5,4,4,3,8,yes,poor,excellent,gentle,Technical,work,hard worker,no,yes,full stack,system designing,Computer Architecture,developer,SAaS services,Journals,Software Quality Assurance (QA) / Testing
75,88,83,63,89,84,64,82,8,1,1,5,7,no,poor,poor,stubborn,Management,work,hard worker,yes,no,machine learning,system designing,Management,system developer,Product based,Action and Adventure,UX Designer
68,62,89,81,60,78,90,77,4,7,0,5,8,no,poor,poor,gentle,Technical,work,hard worker,no,no,distro making,database security,Management,security,Testing and Maintainance Services,Science,Data Architect
60,79,79,68,61,90,66,91,8,4,0,7,2,yes,excellent,poor,gentle,Technical,salary,hard worker,no,no,python,cloud computing,cloud computing,testing,product development,Romance,Information Security Analyst
91,91,79,83,65,63,63,89,6,2,2,1,8,yes,medium,excellent,stubborn,Technical,work,smart worker,no,yes,app development,testing,Computer Architecture,developer,Cloud Services,Travel,Web Developer
64,80,89,76,91,94,88,60,11,5,1,4,1,no,medium,poor,gentle,Technical,work,hard worker,yes,yes,machine learning,game development,programming,security,Finance,Self help,CRM Technical Developer
83,93,68,65,80,62,90,88,8,2,6,3,7,no,medium,poor,stubborn,Technical,salary,hard worker,no,no,full stack,database security,IOT,testing,product development,Guide,Information Technology Auditor
71,83,79,69,94,74,63,71,12,7,5,4,2,yes,excellent,excellent,gentle,Technical,salary,hard worker,yes,yes,full stack,system designing,Management,testing,Finance,Self help,Technical Support
85,68,63,77,62,82,89,69,12,7,3,9,4,yes,medium,medium,gentle,Technical,salary,smart worker,yes,no,full stack,hacking,Management,testing,product development,Science fiction,Data Architect
92,86,73,65,75,64,88,73,6,4,3,2,9,yes,medium,medium,stubborn,Technical,salary,hard worker,yes,no,machine learning,database security,cloud computing,developer,Business Process Analysis,Series,Database Manager
61,66,94,92,73,82,89,65,11,3,1,3,5,no,excellent,excellent,stubborn,Technical,work,hard worker,yes,no,app development,data science,networks,Business process analyst,Web Services,Satire,CRM Business Analyst
61,69,69,68,92,91,83,68,6,2,0,7,3,no,medium,poor,stubborn,Management,salary,smart worker,no,yes,information security,data science,hacking,testing,Testing and Maintainance Services,Comics,Data Architect
68,62,89,68,80,74,86,61,6,5,0,4,1,yes,medium,excellent,stubborn,Technical,salary,smart worker,no,yes,full stack,hacking,hacking,security,Finance,Childrens,Project Manager
62,70,64,72,63,86,86,86,4,9,3,2,5,no,poor,excellent,gentle,Management,work,smart worker,no,yes,hadoop,system designing,Computer Architecture,system developer,Testing and Maintainance Services,Drama,Software Developer
82,80,75,64,83,83,71,76,6,4,5,8,3,no,poor,medium,gentle,Technical,salary,hard worker,no,no,shell programming,hacking,IOT,developer,Service Based,Prayer books,Business Intelligence Analyst
90,92,64,93,68,63,88,60,6,9,6,8,3,no,excellent,poor,stubborn,Technical,work,smart worker,no,no,machine learning,database security,IOT,testing,Web Services,Series,Systems Analyst
93,60,61,83,79,69,84,79,9,1,6,9,1,yes,medium,excellent,stubborn,Technical,salary,hard worker,yes,no,app development,web technologies,cloud computing,cloud computing,Sales and Marketing,History,CRM Business Analyst
61,72,79,76,82,62,93,63,7,9,1,5,8,no,excellent,excellent,gentle,Technical,work,hard worker,no,yes,hadoop,cloud computing,parallel computing,Business process analyst,Cloud Services,Biographies,Database Administrator
85,78,78,93,92,79,64,67,4,4,1,5,9,no,medium,poor,stubborn,Management,salary,hard worker,no,yes,full stack,cloud computing,hacking,security,Finance,Fantasy,Software Quality Assurance (QA) / Testing
86,76,86,92,64,94,68,71,4,3,5,8,2,no,medium,poor,stubborn,Technical,salary,smart worker,yes,no,information security,hacking,Management,testing,Business Process Analysis,Drama,Mobile Applications Developer
84,82,87,77,60,67,75,61,8,8,4,9,2,no,excellent,medium,stubborn,Management,work,smart worker,yes,no,machine learning,data science,Management,cloud computing,Service Based,Prayer books,CRM Business Analyst
86,90,80,71,67,76,60,61,9,6,3,3,2,no,medium,medium,stubborn,Management,work,hard worker,yes,yes,app development,system designing,Computer Architecture,cloud computing,Finance,Travel,Software Developer
64,83,77,78,62,73,82,78,12,8,3,4,5,yes,poor,medium,stubborn,Technical,work,smart worker,yes,no,python,web technologies,networks,security,Cloud Services,Biographies,Database Administrator
64,72,60,61,89,64,86,67,8,8,1,2,8,no,excellent,medium,gentle,Technical,salary,hard worker,yes,yes,hadoop,game development,parallel computing,testing,Finance,Biographies,Applications Developer
68,77,61,78,86,86,93,67,9,1,5,2,8,no,excellent,excellent,stubborn,Technical,salary,hard worker,no,yes,python,system designing,parallel computing,developer,SAaS services,Math,Database Developer
77,82,70,64,82,76,79,93,7,9,5,6,8,no,poor,excellent,gentle,Technical,salary,hard worker,yes,no,hadoop,game development,Management,developer,Sales and Marketing,Guide,Network Security Engineer
88,70,73,87,73,75,89,68,7,6,5,7,2,no,poor,excellent,gentle,Management,work,hard worker,yes,yes,r programming,database security,networks,testing,Web Services,Self help,Database Developer
74,79,69,87,62,67,78,83,5,5,5,7,7,no,medium,excellent,stubborn,Management,work,hard worker,no,yes,python,cloud computing,Computer Architecture,cloud computing,Product based,Poetry,Technical Services/Help Desk/Tech Support
93,61,82,75,70,90,85,68,6,4,4,2,9,yes,excellent,medium,gentle,Management,salary,smart worker,no,yes,full stack,cloud computing,Software Engineering,testing,Cloud Services,Poetry,Information Technology Auditor
75,85,69,81,91,73,91,91,9,5,5,9,3,no,excellent,excellent,gentle,Management,work,smart worker,no,no,hadoop,testing,data engineering,developer,Product based,Dictionaries,Business Intelligence Analyst
74,86,72,93,84,82,87,67,7,6,4,6,8,no,excellent,medium,stubborn,Management,salary,smart worker,yes,yes,full stack,data science,Management,Business process analyst,Web Services,Satire,UX Designer
76,90,77,63,91,71,64,65,6,8,1,9,5,yes,poor,medium,stubborn,Management,work,hard worker,yes,no,machine learning,system designing,hacking,developer,Finance,Romance,Technical Support
77,73,69,63,66,82,71,73,8,1,0,4,8,yes,excellent,medium,stubborn,Technical,work,smart worker,no,yes,full stack,hacking,data engineering,cloud computing,Web Services,Dictionaries,Technical Support
91,70,75,78,83,71,91,84,12,4,5,1,2,no,medium,poor,stubborn,Management,salary,smart worker,yes,no,app development,hacking,hacking,security,Web Services,Self help,Systems Security Administrator
81,88,94,93,89,82,64,88,11,7,5,9,8,yes,excellent,medium,stubborn,Technical,work,smart worker,no,yes,shell programming,database security,Software Engineering,system developer,Cloud Services,Math,Database Administrator
68,62,85,71,64,62,86,70,7,5,6,7,3,yes,medium,poor,gentle,Technical,work,smart worker,no,no,information security,web technologies,Software Engineering,developer,Web Services,Science,Solutions Architect
62,78,81,66,88,82,62,74,5,6,4,7,9,yes,excellent,medium,stubborn,Management,salary,smart worker,yes,no,distro making,cloud computing,Management,cloud computing,Finance,Action and Adventure,Information Technology Manager
85,92,85,93,64,78,76,71,7,6,1,3,3,yes,poor,poor,gentle,Management,work,smart worker,no,yes,hadoop,system designing,hacking,testing,Sales and Marketing,Math,Data Architect
75,92,92,86,87,72,86,65,8,2,3,4,8,yes,excellent,medium,stubborn,Technical,salary,hard worker,yes,no,shell programming,game development,programming,system developer,Web Services,Poetry,Applications Developer
73,69,89,65,80,93,65,64,7,7,2,6,2,yes,poor,poor,gentle,Management,salary,hard worker,no,no,r programming,database security,cloud computing,system developer,Sales and Marketing,Art,Project Manager
78,64,85,87,87,83,80,62,8,1,6,2,4,no,poor,poor,stubborn,Technical,work,smart worker,yes,yes,distro making,web technologies,data engineering,Business process analyst,Testing and Maintainance Services,Health,Business Intelligence Analyst
92,77,66,74,61,86,94,60,12,4,0,1,6,yes,medium,excellent,stubborn,Management,work,hard worker,no,yes,r programming,game development,cloud computing,security,Sales and Marketing,Childrens,Solutions Architect
69,78,86,61,81,72,72,88,11,4,2,3,3,no,medium,medium,stubborn,Management,work,hard worker,yes,yes,shell programming,system designing,programming,security,Sales and Marketing,Science,UX Designer
63,77,92,72,67,82,93,88,10,2,5,9,1,no,poor,excellent,stubborn,Management,work,hard worker,no,yes,shell programming,system designing,programming,system developer,product development,Romance,Applications Developer
71,80,70,88,93,84,90,63,12,2,4,2,9,yes,excellent,medium,gentle,Technical,work,smart worker,no,yes,distro making,system designing,Computer Architecture,testing,Cloud Services,Diaries,Software Developer
75,82,77,64,88,87,69,70,11,4,1,9,4,no,excellent,poor,gentle,Management,salary,smart worker,yes,no,information security,cloud computing,data engineering,system developer,product development,Mystery,Design & UX
65,85,69,84,70,75,81,87,6,6,2,3,1,yes,medium,excellent,stubborn,Management,work,smart worker,no,no,app development,data science,programming,system developer,Finance,Journals,Information Security Analyst
71,81,77,66,73,81,90,62,5,1,4,7,5,yes,medium,poor,gentle,Technical,salary,smart worker,yes,no,information security,game development,Management,Business process analyst,Product based,Math,Technical Engineer
63,60,86,78,69,76,91,72,11,9,3,6,3,no,medium,excellent,stubborn,Technical,salary,smart worker,no,no,distro making,data science,networks,system developer,SAaS services,Health,Project Manager
86,73,89,92,80,89,93,85,12,9,5,8,5,yes,medium,medium,gentle,Technical,work,smart worker,no,no,information security,game development,programming,developer,product development,Comics,Network Security Administrator
61,92,80,76,68,74,91,62,9,3,0,5,4,yes,medium,medium,gentle,Technical,work,smart worker,yes,no,machine learning,cloud computing,Computer Architecture,cloud computing,Sales and Marketing,Self help,Data Architect
75,66,69,84,83,67,78,91,12,1,1,4,6,yes,excellent,excellent,stubborn,Management,work,smart worker,yes,yes,python,data science,hacking,testing,Testing and Maintainance Services,Satire,Information Technology Auditor
68,62,74,72,67,67,70,60,12,8,3,8,2,no,poor,poor,gentle,Management,salary,hard worker,yes,yes,information security,web technologies,Software Engineering,testing,Business Process Analysis,Dictionaries,Software Quality Assurance (QA) / Testing
87,80,66,72,93,79,88,67,4,4,0,6,5,no,poor,poor,gentle,Technical,work,hard worker,yes,yes,app development,game development,Management,cloud computing,Service Based,Encyclopedias,Technical Support
71,71,63,83,78,73,81,83,12,5,1,9,5,yes,excellent,medium,gentle,Management,work,hard worker,yes,no,r programming,game development,Computer Architecture,testing,Product based,Drama,Database Administrator
94,87,77,70,82,62,91,84,9,8,3,3,2,yes,excellent,excellent,gentle,Technical,salary,smart worker,no,yes,hadoop,game development,IOT,developer,Product based,Poetry,Database Manager
84,75,74,82,80,89,88,79,5,8,3,2,5,yes,medium,poor,stubborn,Management,work,smart worker,yes,no,python,data science,Computer Architecture,testing,Testing and Maintainance Services,Cookbooks,Systems Analyst
61,65,76,90,60,76,60,84,12,4,1,6,2,yes,poor,poor,gentle,Management,salary,hard worker,no,no,distro making,data science,parallel computing,cloud computing,Service Based,Comics,Business Systems Analyst
77,81,84,86,66,85,66,74,8,9,2,9,5,no,poor,poor,stubborn,Management,work,smart worker,yes,no,python,system designing,hacking,Business process analyst,SAaS services,Cookbooks,Information Technology Auditor
77,93,71,89,67,64,64,82,12,7,2,7,1,yes,poor,excellent,gentle,Technical,work,smart worker,yes,no,distro making,data science,Computer Architecture,security,Business Process Analysis,Anthology,Portal Administrator
83,64,85,75,93,64,70,83,7,4,6,9,8,no,excellent,excellent,gentle,Management,salary,hard worker,no,yes,hadoop,cloud computing,Management,Business process analyst,Service Based,Math,Quality Assurance Associate
92,92,72,77,91,65,85,87,6,7,3,1,4,no,medium,excellent,stubborn,Management,work,hard worker,yes,yes,hadoop,cloud computing,Software Engineering,Business process analyst,product development,Self help,Software Developer
91,82,76,77,74,88,85,64,11,9,5,5,2,no,excellent,excellent,gentle,Technical,salary,smart worker,yes,yes,r programming,system designing,programming,system developer,Web Services,Self help,Software Developer
71,69,64,69,79,79,88,62,8,2,2,5,6,yes,excellent,poor,stubborn,Technical,salary,smart worker,yes,yes,distro making,hacking,cloud computing,system developer,Product based,Mystery,Software Quality Assurance (QA) / Testing
86,74,80,65,75,68,92,82,10,3,6,6,9,yes,poor,poor,gentle,Technical,salary,hard worker,no,no,shell programming,game development,parallel computing,testing,Product based,Horror,Software Engineer
92,74,87,66,94,92,62,71,12,9,5,6,7,yes,medium,poor,stubborn,Management,work,smart worker,yes,no,full stack,cloud computing,cloud computing,security,Cloud Services,Science,Solutions Architect
68,67,61,93,60,70,93,63,5,1,1,8,8,yes,medium,poor,gentle,Management,work,smart worker,no,no,hadoop,system designing,Software Engineering,cloud computing,Cloud Services,Biographies,Systems Analyst
87,82,68,88,83,65,61,84,4,2,2,3,5,no,excellent,excellent,gentle,Management,salary,hard worker,yes,no,r programming,game development,cloud computing,security,product development,History,Data Architect
68,92,62,67,62,78,73,78,7,1,3,3,4,yes,poor,poor,stubborn,Technical,work,smart worker,yes,yes,distro making,hacking,programming,Business process analyst,Business Process Analysis,Trilogy,Mobile Applications Developer
88,84,90,90,92,93,66,64,12,7,2,8,2,yes,medium,excellent,gentle,Technical,salary,hard worker,yes,yes,r programming,web technologies,programming,developer,Product based,Anthology,Network Security Administrator
68,91,77,68,86,69,83,61,12,2,2,1,7,yes,poor,excellent,stubborn,Management,salary,hard worker,yes,no,shell programming,cloud computing,programming,system developer,product development,Action and Adventure,CRM Business Analyst
86,61,92,82,90,70,70,79,6,9,3,6,5,yes,poor,excellent,gentle,Management,salary,smart worker,no,yes,app development,web technologies,Software Engineering,testing,product development,Autobiographies,Portal Administrator
73,73,62,63,86,69,86,73,12,6,2,2,1,no,medium,medium,stubborn,Technical,salary,smart worker,no,yes,information security,cloud computing,networks,developer,Sales and Marketing,Cookbooks,E-Commerce Analyst
94,69,71,63,82,69,92,70,12,5,1,7,4,yes,medium,excellent,stubborn,Technical,work,smart worker,yes,no,app development,hacking,parallel computing,testing,Cloud Services,Journals,Systems Security Administrator
92,86,82,79,83,94,69,80,4,4,3,8,7,yes,medium,excellent,gentle,Technical,salary,hard worker,no,no,r programming,system designing,cloud computing,security,product development,Diaries,Software Engineer
62,66,84,91,60,93,73,67,10,1,1,3,6,yes,poor,medium,stubborn,Management,salary,smart worker,yes,yes,hadoop,hacking,IOT,developer,product development,Mystery,Systems Security Administrator
88,76,84,69,77,77,65,75,6,1,4,4,6,no,excellent,poor,stubborn,Technical,salary,smart worker,yes,no,distro making,web technologies,Software Engineering,testing,Testing and Maintainance Services,Biographies,Information Security Analyst
70,91,90,78,61,71,78,78,12,6,6,6,9,yes,medium,medium,gentle,Management,salary,hard worker,yes,yes,information security,data science,programming,developer,Cloud Services,Series,Database Administrator
80,70,91,77,94,70,70,74,7,6,6,2,7,yes,poor,excellent,gentle,Management,salary,smart worker,no,no,full stack,database security,Management,security,Business Process Analysis,Dictionaries,Network Engineer
93,71,82,68,82,77,87,88,12,7,4,9,3,yes,excellent,poor,gentle,Technical,salary,smart worker,no,yes,app development,data science,Software Engineering,cloud computing,Cloud Services,Guide,Applications Developer
82,68,93,94,63,61,71,62,12,5,3,6,4,no,poor,medium,gentle,Technical,work,hard worker,yes,no,distro making,cloud computing,Management,testing,Finance,Guide,Applications Developer
68,94,68,89,85,73,84,66,8,9,3,5,9,yes,medium,excellent,gentle,Technical,salary,smart worker,no,yes,app development,hacking,Computer Architecture,cloud computing,Testing and Maintainance Services,Poetry,Project Manager
79,73,63,82,74,76,75,60,7,8,3,2,7,yes,medium,medium,gentle,Management,salary,hard worker,no,no,python,testing,IOT,cloud computing,Web Services,Guide,Information Security Analyst
87,71,83,83,72,94,82,68,11,5,5,3,4,no,medium,poor,gentle,Management,salary,hard worker,no,no,machine learning,database security,Computer Architecture,cloud computing,Business Process Analysis,Romance,CRM Business Analyst
68,74,94,68,75,83,66,86,6,8,2,6,7,no,poor,poor,gentle,Management,work,hard worker,yes,yes,full stack,system designing,hacking,security,Web Services,Health,Network Security Engineer
72,84,92,63,65,77,69,75,11,2,5,8,6,no,excellent,poor,stubborn,Management,salary,hard worker,yes,yes,hadoop,testing,IOT,Business process analyst,Business Process Analysis,Prayer books,Information Security Analyst
83,77,74,65,78,77,71,91,9,7,6,2,9,no,poor,poor,stubborn,Technical,salary,smart worker,yes,no,r programming,system designing,hacking,developer,Service Based,Health,Information Technology Manager
61,69,85,74,61,74,71,93,12,9,2,9,1,no,medium,medium,stubborn,Management,work,hard worker,yes,no,app development,database security,parallel computing,testing,Finance,Science fiction,Technical Engineer
73,61,90,67,89,85,61,79,9,8,0,6,5,no,poor,excellent,gentle,Management,work,hard worker,yes,no,app development,testing,IOT,system developer,Cloud Services,Mystery,Network Engineer
62,84,64,68,72,86,86,79,11,6,1,9,5,no,poor,medium,gentle,Management,salary,smart worker,no,yes,python,system designing,data engineering,Business process analyst,Finance,Health,Network Security Administrator
88,82,70,92,88,73,62,61,8,8,5,3,8,no,medium,excellent,gentle,Management,work,smart worker,yes,yes,hadoop,web technologies,networks,testing,Service Based,Romance,Database Administrator
77,61,87,72,71,73,85,87,4,9,3,5,2,yes,poor,medium,stubborn,Management,work,hard worker,no,yes,machine learning,game development,cloud computing,security,Testing and Maintainance Services,Science,Database Developer
93,79,93,67,77,67,85,62,5,2,1,9,1,yes,poor,medium,stubborn,Management,salary,hard worker,yes,yes,app development,cloud computing,cloud computing,cloud computing,Product based,Encyclopedias,Software Engineer
85,79,82,64,90,87,70,74,12,8,3,5,3,no,excellent,poor,gentle,Technical,work,hard worker,no,yes,shell programming,system designing,IOT,testing,SAaS services,Autobiographies,Network Engineer
74,82,67,81,74,91,60,77,12,7,6,4,6,yes,medium,medium,gentle,Management,salary,hard worker,yes,yes,information security,game development,Management,system developer,Finance,Satire,Project Manager
